[[!table  data="""
Package|Packaged by pkg-emacsen-addons?|Spacemacs|Doom Emacs
2048-mode|todo|+fun/games|
ac-ispell|todo|+completion/auto-completion|
ace-jump-helm-line|todo|+completion/helm|
ace-link|**DONE**|+spacemacs/spacemacs-navigation|
ace-pinyin|todo|+intl/chinese|input/chinese
ace-window|**DONE**|+spacemacs/spacemacs-navigation|ui/window-select
adaptive-wrap|todo||lang/latex
add-node-modules-path|todo|+tools/node|
adoc-mode|todo|+lang/asciidoc|
agda2-mode|todo|+lang/agda|
aggressive-indent|**DONE**|+spacemacs/spacemacs-editing|
ahk-mode|todo|+lang/autohotkey|
alchemist|todo|+lang/elixir|lang/elixir
alchemist-company|todo||lang/elixir
alda-mode|todo|+lang/alda|
alert|todo|+chat/slack|
all-the-icons|todo|+completion/auto-completion|
all-the-icons-dired|todo||emacs/dired
all-the-icons-ivy|todo||completion/ivy
ameba|todo|+lang/crystal|
anaconda-mode|todo|+lang/python|lang/python
android-mode|todo||lang/java
ansible|todo|+tools/ansible|tools/ansible
ansible-doc|todo|+tools/ansible|
anzu|**DONE**||ui/modeline
asm-mode|todo|+lang/asm|
attrap|todo|+lang/haskell|
auctex-latexmk|todo|+lang/latex|lang/latex
auto-compile|todo|+lang/emacs-lisp|
auto-complete|todo|+completion/auto-completion|
auto-dictionary|**DONE**|+checkers/spell-checking|
auto-highlight-symbol|todo|+spacemacs/spacemacs-navigation|
auto-yasnippet|todo|+completion/auto-completion|editor/snippets
avy|**DONE**|+spacemacs/spacemacs-editing|
avy-migemo|todo|+intl/japanese|input/japanese
bibtex-completion|todo||tools/biblio
blacken|todo|+lang/python|
bm|**DONE**|+tools/bm|
bookmark|todo|+spacemacs/spacemacs-defaults|
bracketed-paste|todo|+spacemacs/spacemacs-editing|
browse-at-remote|todo|+source-control/version-control|
bundler|todo|+lang/ruby|lang/ruby
buttercup|**DONE**||lang/emacs-lisp
calfw|todo||app/calendar
calfw-org|todo||app/calendar
cargo|todo|+lang/rust|
cc-mode|todo|+lang/c-c++|lang/cc
ccls|todo|+lang/c-c++|lang/cc
cdlatex|todo||lang/latex
centaur-tabs|todo||ui/tabs
centered-cursor-mode|todo|+spacemacs/spacemacs-navigation|
cfengine3-mode|todo|+tools/cfengine|
chinese-conv|todo|+intl/chinese|
chinese-wbim|todo|+intl/chinese|
chruby|todo|+lang/ruby|lang/ruby
cider|**DONE**|+lang/clojure|lang/clojure
circe|**DONE**||app/irc
circe-color-nicks|todo||app/irc
circe-new-day-notifier|todo||app/irc
circe-notifications|todo||app/irc
clang-format|todo|+lang/c-c++|
clean-aindent-mode|todo|+spacemacs/spacemacs-editing|
cliphist|todo|+tools/xclipboard|
clj-refactor|todo|+lang/clojure|lang/clojure
clojure-mode|**DONE**|+lang/clojure|lang/clojure
clojure-snippets|todo|+lang/clojure|
cmake-ide|todo|+tools/cmake|
cmake-mode|todo|+tools/cmake|
cmm-mode|todo|+lang/haskell|
coffee-mode|todo|+lang/coffeescript|
color-identifiers-mode|todo|+themes/colors|
column-enforce-mode|todo|+spacemacs/spacemacs-editing-visual|
command-log-mode|todo|+tools/command-log|
company|**DONE**|+completion/auto-completion|completion/company
company-anaconda|todo|+lang/python|
company-ansible|todo|+tools/ansible|
company-auctex|todo|+lang/latex|lang/latex
company-box|todo|+completion/auto-completion|completion/company
company-c-headers|todo|+lang/c-c++|
company-cabal|todo|+lang/haskell|
company-cmake|todo||lang/cc
company-coq|todo|+lang/coq|lang/coq
company-dcd|todo|+lang/d|
company-dict|todo||completion/company
company-emoji|todo|+fun/emoji|
company-erlang|todo||lang/erlang
company-ghc|todo|+lang/haskell|
company-ghci|todo|+lang/haskell|
company-glsl|todo|+lang/gpu|lang/cc
company-go|todo|+lang/go|lang/go
company-irony|todo||lang/cc
company-lean|todo||lang/lean
